m_H^v,m_A^v,m_L^v,share_H,share_L,share_A,mean_c_T,mean_v_T,mean_cumulative_u,regime,seconds
0.7,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,12.488292749999971
0.7,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,12.492244374999984
0.7,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,12.485681916000033
0.7,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,11.331583582999997
0.7,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,11.318722832999981
0.7,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,11.37442708399999
0.7,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,11.388570665999964
0.7,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,11.210149333000004
0.7,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,11.378506166000022
0.7,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,11.440452083999958
0.7,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,11.380618334000019
0.8,0.0,0.0,0.94801,0.0,0.05199,0.9976790946096367,0.7966241376279751,633.7129444174245,mostly H,10.709557040999982
0.8,0.05,0.0,0.94435,0.0,0.05565,0.9972812766910464,0.7962926500455383,633.786094196259,mostly H,10.89570974999998
0.8,0.1,0.0,0.93973,0.0,0.06027,0.9967038345637164,0.7958048803644493,633.8786278279953,mostly H,10.956399458000021
0.8,0.15,0.0,0.93382,0.0,0.06618,0.9960610879719158,0.7953449221575913,633.9805075668027,mostly H,10.938020709
0.8,0.2,0.0,0.92678,0.0,0.07322,0.9951468526483054,0.7947056574418144,634.1193625127644,mostly H,10.699706000000049
0.8,0.25,0.0,0.91764,0.0,0.08236,0.9937855503804072,0.7937855503860415,634.2883267900523,mostly H,10.984483000000012
0.8,0.3,0.0,0.9055,0.0,0.0945,0.991837429087907,0.792579480992976,634.4998939701569,mostly H,10.959603375000029
0.8,0.35,0.0,0.88717,0.0,0.11283,0.9883875646005261,0.7904989164936446,634.7880283548134,mostly H,10.968644749999953
0.8,0.4,0.0,0.8539,0.0,0.1461,0.981972236452565,0.7868888992388695,635.2471648234648,mostly H,10.75245058300004
0.8,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,11.358385166000005
0.8,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,11.330648666000002
0.8,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,11.381787667000026
